,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,handbag_383842,0.3464660269710936
1,backbone.res2.0.conv2,1,handbag_383842,0.2978036457228173
2,backbone.res2.0.conv3,1,handbag_383842,0.37398550036744893
3,backbone.res2.1.conv1,1,handbag_383842,0.38758415955711567
4,backbone.res2.1.conv2,1,handbag_383842,0.38269497920987217
5,backbone.res2.1.conv3,1,handbag_383842,0.3805740328376859
6,backbone.res2.2.conv1,1,handbag_383842,0.40077773234177894
7,backbone.res2.2.conv2,1,handbag_383842,0.3345038163758784
8,backbone.res2.2.conv3,1,handbag_383842,0.3809114256623107
9,backbone.res3.0.conv1,1,handbag_383842,0.3769713397127873
10,backbone.res3.0.conv2,1,handbag_383842,0.2988813229413483
11,backbone.res3.0.conv3,1,handbag_383842,0.4057231510303393
12,backbone.res3.1.conv1,1,handbag_383842,0.381131845599055
13,backbone.res3.1.conv2,1,handbag_383842,0.3964511998955829
14,backbone.res3.1.conv3,1,handbag_383842,0.4009413938185947
15,backbone.res3.2.conv1,1,handbag_383842,0.36252995757051787
16,backbone.res3.2.conv2,1,handbag_383842,0.24881107465414487
17,backbone.res3.2.conv3,1,handbag_383842,0.37467378874410784
18,backbone.res3.3.conv1,1,handbag_383842,0.31104475094347495
19,backbone.res3.3.conv2,1,handbag_383842,0.2947869889961357
20,backbone.res3.3.conv3,1,handbag_383842,0.4443539786430456
21,backbone.res4.0.conv1,1,handbag_383842,0.44492873528536403
22,backbone.res4.0.conv2,1,handbag_383842,0.4157518763230515
23,backbone.res4.0.conv3,1,handbag_383842,0.37031983613443087
24,backbone.res4.1.conv1,1,handbag_383842,0.49403439118758463
25,backbone.res4.1.conv2,1,handbag_383842,0.6674676097084934
26,backbone.res4.1.conv3,1,handbag_383842,0.3345078085777324
27,backbone.res4.2.conv1,1,handbag_383842,0.4698246361020018
28,backbone.res4.2.conv2,1,handbag_383842,0.5182803789331772
29,backbone.res4.2.conv3,1,handbag_383842,0.48662108123681
30,backbone.res4.3.conv1,1,handbag_383842,0.4478865941684933
31,backbone.res4.3.conv2,1,handbag_383842,0.6452043885732595
32,backbone.res4.3.conv3,1,handbag_383842,0.2990049821720634
33,backbone.res4.4.conv1,1,handbag_383842,0.2878507837497377
34,backbone.res4.4.conv2,1,handbag_383842,0.5321305945108652
35,backbone.res4.4.conv3,1,handbag_383842,0.3106909299639687
36,backbone.res4.5.conv1,1,handbag_383842,0.46349006248031904
37,backbone.res4.5.conv2,1,handbag_383842,0.30093665694923044
38,backbone.res4.5.conv3,2,handbag_383842,0.0981807358598308
39,roi_heads.pooler.level,2,handbag_383842,0.15448212044017665
40,roi_heads.res5.0.conv1,2,handbag_383842,0.46938949027527155
41,roi_heads.res5.0.conv2,2,handbag_383842,0.285599681732043
42,roi_heads.res5.0.conv3,2,handbag_383842,0.1818422862606125
43,roi_heads.res5.1.conv1,2,handbag_383842,0.32036439127027405
44,roi_heads.res5.1.conv2,2,handbag_383842,0.24486315294361674
45,roi_heads.res5.1.conv3,2,handbag_383842,0.3043426631027674
46,roi_heads.res5.2.conv1,2,handbag_383842,0.208973984530919
47,roi_heads.res5.2.conv2,2,handbag_383842,0.4101268719267085
48,roi_heads.res5.2.conv3,2,handbag_383842,0.4801375514577286
