,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,962,0.3750578059043706
1,backbone.res2.0.conv2,1,962,0.4510068055134769
2,backbone.res2.0.conv3,1,962,0.31895748702773347
3,backbone.res2.1.conv1,1,962,0.4040394309472285
4,backbone.res2.1.conv2,1,962,0.35656933741338986
5,backbone.res2.1.conv3,2,962,0.2842868617989502
6,backbone.res2.2.conv1,1,962,0.3577535278192556
7,backbone.res2.2.conv2,2,962,0.2771236793517047
8,backbone.res2.2.conv3,2,962,0.22678091159433514
9,backbone.res3.0.conv1,1,962,0.5541650406222886
10,backbone.res3.0.conv2,1,962,0.4403799199544561
11,backbone.res3.0.conv3,1,962,0.43511970511335035
12,backbone.res3.1.conv1,1,962,0.3871488825061525
13,backbone.res3.1.conv2,1,962,0.4067633039008913
14,backbone.res3.1.conv3,1,962,0.4201009588561335
15,backbone.res3.2.conv1,1,962,0.3431398675353906
16,backbone.res3.2.conv2,1,962,0.3271475613393429
17,backbone.res3.2.conv3,1,962,0.420523427332791
18,backbone.res3.3.conv1,1,962,0.41093000229813964
19,backbone.res3.3.conv2,2,962,0.3024908414802296
20,backbone.res3.3.conv3,2,962,0.26438384780891455
21,backbone.res4.0.conv1,1,962,0.3988355619360436
22,backbone.res4.0.conv2,1,962,0.4186047615687189
23,backbone.res4.0.conv3,1,962,0.5115539872015948
24,backbone.res4.1.conv1,1,962,0.4188884704094729
25,backbone.res4.1.conv2,1,962,0.4113076302835676
26,backbone.res4.1.conv3,1,962,0.4503240102493326
27,backbone.res4.2.conv1,1,962,0.42034302143204433
28,backbone.res4.2.conv2,1,962,0.4774627520859807
29,backbone.res4.2.conv3,1,962,0.46430902510976396
30,backbone.res4.3.conv1,1,962,0.4217143693829322
31,backbone.res4.3.conv2,1,962,0.47897552267876653
32,backbone.res4.3.conv3,1,962,0.43908996058355193
33,backbone.res4.4.conv1,1,962,0.37236405986939847
34,backbone.res4.4.conv2,1,962,0.44626767576064547
35,backbone.res4.4.conv3,1,962,0.5139413489568952
36,backbone.res4.5.conv1,1,962,0.4419525164173087
37,backbone.res4.5.conv2,2,962,0.31102640977238705
38,backbone.res4.5.conv3,1,962,0.38115571123795955
39,roi_heads.pooler.level,2,962,0.1409144192299013
40,roi_heads.res5.0.conv1,2,962,0.21612308540148684
41,roi_heads.res5.0.conv2,2,962,0.21617489985597857
42,roi_heads.res5.0.conv3,2,962,0.21807701321030895
43,roi_heads.res5.1.conv1,2,962,0.20954650593582472
44,roi_heads.res5.1.conv2,2,962,0.26440133429129853
45,roi_heads.res5.1.conv3,2,962,0.25705565863496477
46,roi_heads.res5.2.conv1,2,962,0.1852939068733776
47,roi_heads.res5.2.conv2,2,962,0.17550198338767417
48,roi_heads.res5.2.conv3,2,962,0.26771167051987516
49,backbone.res2.0.conv1,1,2170,0.5047604402291002
50,backbone.res2.0.conv2,1,2170,0.45446514781971004
51,backbone.res2.0.conv3,1,2170,0.4918334473811511
52,backbone.res2.1.conv1,1,2170,0.5589199122224197
53,backbone.res2.1.conv2,1,2170,0.5407156680007474
54,backbone.res2.1.conv3,2,2170,0.4017619111904489
55,backbone.res2.2.conv1,1,2170,0.49615058346252483
56,backbone.res2.2.conv2,2,2170,0.2937992426394964
57,backbone.res2.2.conv3,2,2170,0.3241427470519454
58,backbone.res3.0.conv1,1,2170,0.5859401748078726
