,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,962,0.615237140628205
1,backbone.res2.0.conv2,1,962,0.6139635001449222
2,backbone.res2.0.conv3,1,962,0.5273582276836726
3,backbone.res2.1.conv1,1,962,0.5839286709675415
4,backbone.res2.1.conv2,1,962,0.5929401493814498
5,backbone.res2.1.conv3,1,962,0.48739288109571677
6,backbone.res2.2.conv1,1,962,0.5862957897290656
7,backbone.res2.2.conv2,1,962,0.5262747945410685
8,backbone.res2.2.conv3,1,962,0.4958437074554465
9,backbone.res3.0.conv1,1,962,0.5979590934011485
10,backbone.res3.0.conv2,1,962,0.6080114915961083
11,backbone.res3.0.conv3,1,962,0.5973438512596279
12,backbone.res3.1.conv1,1,962,0.6271413554323529
13,backbone.res3.1.conv2,1,962,0.5801883812559596
14,backbone.res3.1.conv3,1,962,0.5711999798186236
15,backbone.res3.2.conv1,1,962,0.49053549119699347
16,backbone.res3.2.conv2,1,962,0.4905374189173864
17,backbone.res3.2.conv3,1,962,0.5757068455564394
18,backbone.res3.3.conv1,2,962,0.5125037138560544
19,backbone.res3.3.conv2,2,962,0.37629396283546546
20,backbone.res3.3.conv3,2,962,0.4267132116395426
21,backbone.res4.0.conv1,2,962,0.3941083479473854
22,backbone.res4.0.conv2,2,962,0.4025398414108845
23,backbone.res4.0.conv3,2,962,0.526412463578868
24,backbone.res4.1.conv1,2,962,0.39439761864192097
25,backbone.res4.1.conv2,2,962,0.45100514842157396
26,backbone.res4.1.conv3,2,962,0.45560052717831423
27,backbone.res4.2.conv1,2,962,0.3915041122253023
28,backbone.res4.2.conv2,2,962,0.3988571779735429
29,backbone.res4.2.conv3,2,962,0.4094733432317392
30,backbone.res4.3.conv1,2,962,0.42862037092605165
31,backbone.res4.3.conv2,2,962,0.47191412355810364
32,backbone.res4.3.conv3,2,962,0.3810362810553399
33,backbone.res4.4.conv1,2,962,0.3838429333775755
34,backbone.res4.4.conv2,2,962,0.4595583415017534
35,backbone.res4.4.conv3,2,962,0.4054169162031189
36,backbone.res4.5.conv1,2,962,0.4386193472393564
37,backbone.res4.5.conv2,2,962,0.35746833092782176
38,backbone.res4.5.conv3,2,962,0.3958475921607315
39,backbone.res2.0.conv1,1,2170,0.7480661043302217
40,backbone.res2.0.conv2,1,2170,0.7603563185251597
41,backbone.res2.0.conv3,1,2170,0.8141129909289122
42,backbone.res2.1.conv1,1,2170,0.7972640851152337
